unitprice,area,year,direction,decoration,bedroom,hall,lavatory,storey,totalstorey,elevator,property,far,parkinglot,greening,fee,admdist,secdist,subway,school,business,amenity
43887,161.8,10,1,4,4,2,2,中层,11,1,1,1.6,842,0.46,2.38,浦东,38383.28,TRUE,FALSE,TRUE,TRUE
37609,92,29,1,2,2,2,1,中层,6,0,1,1.3,100,0.35,0.5,浦东,41074.30357,FALSE,FALSE,TRUE,FALSE
51171,111,17,1,2,2,2,1,低层,6,0,1,1.2,50,0.4,0.8,浦东,50950.82051,TRUE,FALSE,TRUE,TRUE
38055,81.5,11,1,3,2,2,1,中层,6,0,1,1.7,180,0.3,1,浦东,45311.86441,TRUE,FALSE,TRUE,TRUE
58689,126.9,14,1,4,3,2,2,高层,12,1,1,1.4,320,0.45,1.1,浦东,50950.82051,TRUE,FALSE,FALSE,FALSE
28276,84.2,7,1,2,2,2,1,低层,18,1,1,1.2,650,0.36,3.65,浦东,27929.52083,TRUE,FALSE,TRUE,FALSE
57454,67.9,21,1,2,2,1,1,高层,6,0,1,1.4,1000,0.46,3.2,浦东,47038.57386,FALSE,TRUE,TRUE,TRUE
74286,94.2,11,1,3,2,1,1,低层,14,1,1,1.5,1000,0.5,2.2,浦东,50950.82051,TRUE,TRUE,TRUE,FALSE
46552,58,34,1,4,2,1,1,中层,6,0,1,1.5,100,0.2,0.6,浦东,48439.19444,TRUE,TRUE,FALSE,FALSE
41081,37,19,0,3,1,1,1,低层,6,1,1,1.4,100,0.28,1.23,浦东,48439.19444,TRUE,FALSE,FALSE,FALSE
47959,98,15,1,2,3,2,1,低层,6,1,1,1.8,300,0.3,0.5,浦东,47038.57386,TRUE,FALSE,TRUE,FALSE
28186,81.6,11,1,3,2,2,1,低层,14,1,1,1.5,385,0.35,1,浦东,35482.76437,TRUE,TRUE,TRUE,TRUE
76871,147,6,1,4,3,2,2,高层,18,1,1,2.7,406,0.4,3.5,浦东,48258.65812,TRUE,TRUE,TRUE,FALSE
21379,87,13,1,3,2,2,1,中层,18,1,1,1.3,20,0.35,0.5,浦东,27226.73846,FALSE,FALSE,FALSE,FALSE
76969,84.5,17,1,2,2,2,1,低层,6,0,1,1.2,100,0.4,1.2,浦东,47038.57386,TRUE,FALSE,FALSE,FALSE
25000,80,1,1,3,2,2,1,低层,8,1,1,1,500,0.35,2.01,浦东,25262.41176,TRUE,FALSE,FALSE,TRUE
34371,86.7,22,1,3,3,2,1,中层,6,0,1,1.2,200,0.45,0.8,浦东,48392.1625,TRUE,FALSE,TRUE,TRUE
